amfi_code,cagr,sharpe_ratio,sortino_ratio,max_drawdown,alpha,beta,fund_house,scheme_name,category,sub_category,plan,launch_date,benchmark,expense_ratio_pct,exit_load_pct,min_sip_amount,min_lumpsum_amount,fund_manager,risk_category,sebi_category_code,cagr_rank,sharpe_rank,alpha_rank,drawdown_rank,fund_score
148567,0.30403609350712624,1.4482911703262604,2.3856443733688186,-0.11265729075028275,0,0,Mirae Asset MF,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Large Cap,Regular,2008-04-04,NIFTY 100 TRI,1.46,1.0,500,1000,Gaurav Misra,Moderate,EC01,0.875,1.0,0.5125,0.825,82.125
120843,0.3037093275720901,1.3067439695428413,2.3643200321667184,-0.1297396816518679,0,0,Kotak Mahindra MF,Kotak Flexicap Fund - Regular - Growth,Equity,Flexi Cap,Regular,2009-08-11,NIFTY 500 TRI,1.45,1.0,500,1000,Pankaj Tibrewal,Moderately High,EC04,0.85,0.975,0.5125,0.7,77.625
148569,0.31697296900124927,1.2349300257743294,2.146913926346055,-0.1639674294693263,0,0,Mirae Asset MF,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,ELSS,Regular,2015-12-28,NIFTY 500 TRI,1.6,1.0,500,1000,Neelesh Surana,High,EC05,0.925,0.95,0.5125,0.5,74.25
120505,0.33433225211134987,1.1801011976606495,2.0293529404657464,-0.18188513572116294,0,0,ICICI Prudential MF,ICICI Pru Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2004-10-28,NIFTY Midcap 150 TRI,1.36,1.0,500,1000,Sankaran Naren,High,EC02,1.0,0.9,0.5125,0.4,72.75
100033,0.30518424050597837,1.093698743534631,1.8291339615146942,-0.16217208574644848,0,0,HDFC Mutual Fund,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,Mid Cap,Regular,2007-06-25,NIFTY Midcap 150 TRI,1.38,1.0,500,1000,Chirag Setalvad,High,EC02,0.9,0.85,0.5125,0.525,71.625
119551,0.25822980568647824,1.2082665673727178,2.140267129061793,-0.1501238549864533,0,0,SBI Mutual Fund,SBI Bluechip Fund - Regular Plan - Growth,Equity,Large Cap,Regular,2006-02-14,NIFTY 100 TRI,1.54,1.0,500,1000,Sohini Andani,Moderate,EC01,0.775,0.925,0.5125,0.6,71.625
101206,0.2350438523934777,1.0272133278753697,1.799562874698452,-0.11291596329323073,0,0,Aditya Birla Sun Life MF,ABSL Frontline Equity Fund - Regular - Growth,Equity,Large Cap,Regular,2002-08-30,NIFTY 100 TRI,1.6,1.0,500,1000,Mahesh Patil,Moderate,EC01,0.7,0.8,0.5125,0.8,71.25
120504,0.23617107338005616,1.0265242847993006,1.8052937940992548,-0.12588275606922517,0,0,ICICI Prudential MF,ICICI Pru Bluechip Fund - Direct - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.8,1.0,500,1000,Anish Tawakley,Moderate,EC01,0.725,0.775,0.5125,0.725,69.5
149323,0.295648139501109,1.1321218524747254,1.8751010639192083,-0.17248105753451382,0,0,DSP Mutual Fund,DSP Midcap Fund - Regular - Growth,Equity,Mid Cap,Regular,2006-11-16,NIFTY Midcap 150 TRI,1.61,1.0,500,1000,Vinit Sambre,High,EC02,0.825,0.875,0.5125,0.475,68.75
119552,0.22034114811706274,0.953279496866011,1.609776489628308,-0.11803493502764295,0,0,SBI Mutual Fund,SBI Bluechip Fund - Direct Plan - Growth,Equity,Large Cap,Direct,2013-01-01,NIFTY 100 TRI,0.66,1.0,500,1000,Sohini Andani,Moderate,EC01,0.65,0.725,0.5125,0.75,66.625
