investor_id,sip_count,first_sip,last_sip,avg_gap_days,at_risk
INV000001,2,2024-11-04,2025-01-19,38.0,True
INV000002,3,2024-03-29,2025-05-17,138.0,True
INV000003,2,2024-07-16,2025-03-11,119.0,True
INV000004,6,2024-03-16,2025-05-17,71.16666666666667,True
INV000005,3,2024-09-13,2024-10-11,9.333333333333334,False
INV000006,5,2024-01-02,2025-05-11,99.0,True
INV000007,5,2024-01-03,2025-02-24,83.6,True
INV000008,6,2024-05-27,2025-05-14,58.666666666666664,True
INV000009,4,2024-02-20,2024-11-02,64.0,True
INV000010,6,2024-04-11,2025-03-01,54.0,True
INV000011,7,2024-01-03,2024-08-31,34.42857142857143,False
INV000012,8,2024-03-27,2025-04-30,49.875,True
INV000013,7,2024-04-18,2025-03-16,47.42857142857143,True
INV000014,7,2024-02-23,2025-05-20,64.57142857142857,True
INV000015,1,2025-01-05,2025-01-05,0.0,False
INV000016,1,2024-06-18,2024-06-18,0.0,False
INV000017,1,2025-03-23,2025-03-23,0.0,False
INV000018,2,2025-01-18,2025-03-09,25.0,False
INV000019,3,2024-01-17,2025-03-02,136.66666666666666,True
INV000020,2,2024-06-28,2024-07-14,8.0,False
INV000021,3,2024-06-06,2025-03-21,96.0,True
INV000022,2,2024-05-18,2024-06-27,20.0,False
INV000023,8,2024-03-21,2025-05-05,51.25,True
INV000024,5,2024-05-05,2025-03-04,60.6,True
INV000025,1,2024-05-01,2024-05-01,0.0,False
INV000026,4,2024-01-18,2025-03-27,108.5,True
INV000027,2,2024-05-29,2025-05-05,170.5,True
INV000028,6,2024-02-07,2025-05-20,78.0,True
INV000029,7,2024-05-16,2025-05-15,52.0,True
INV000030,9,2024-02-19,2025-03-06,42.333333333333336,True
INV000031,3,2024-07-13,2025-04-29,96.66666666666667,True
INV000032,4,2024-03-01,2025-01-02,76.75,True
INV000033,8,2024-06-24,2025-05-09,39.875,True
INV000034,1,2025-02-10,2025-02-10,0.0,False
INV000035,2,2024-11-11,2025-04-04,72.0,True
INV000036,2,2024-05-29,2024-09-05,49.5,True
INV000037,2,2024-11-22,2025-01-24,31.5,False
INV000038,4,2024-08-14,2025-03-09,51.75,True
INV000039,6,2024-04-27,2025-04-05,57.166666666666664,True
INV000040,5,2024-06-26,2025-02-01,44.0,True
INV000041,1,2024-09-30,2024-09-30,0.0,False
INV000042,4,2025-03-14,2025-05-21,17.0,False
INV000043,1,2025-03-31,2025-03-31,0.0,False
INV000044,2,2025-01-11,2025-01-28,8.5,False
INV000045,6,2024-03-13,2025-03-01,58.833333333333336,True
INV000046,4,2025-02-14,2025-05-26,25.25,False
INV000047,2,2024-01-10,2024-03-27,38.5,True
INV000048,9,2024-03-27,2025-03-30,40.888888888888886,True
INV000049,3,2024-01-20,2025-05-29,165.0,True
INV000050,2,2024-08-12,2025-01-02,71.5,True
INV000051,3,2024-02-27,2024-07-25,49.666666666666664,True
INV000052,6,2024-03-31,2024-09-28,30.166666666666668,False
INV000053,2,2025-04-29,2025-05-06,3.5,False
INV000054,5,2024-05-30,2025-02-27,54.6,True
INV000055,5,2024-01-30,2025-03-05,80.0,True
INV000056,6,2024-01-10,2025-01-18,62.333333333333336,True
INV000057,8,2024-04-30,2025-04-13,43.5,True
INV000058,5,2024-02-08,2024-12-11,61.4,True
INV000059,1,2024-01-10,2024-01-10,0.0,False
INV000060,2,2024-04-26,2024-07-25,45.0,True
INV000061,3,2024-02-21,2024-04-01,13.333333333333334,False
INV000062,5,2024-01-30,2025-05-08,92.8,True
INV000063,3,2024-01-19,2025-03-30,145.33333333333334,True
INV000065,4,2024-05-06,2025-04-08,84.25,True
INV000066,2,2024-11-25,2025-03-03,49.0,True
INV000067,1,2024-10-29,2024-10-29,0.0,False
INV000069,10,2024-02-14,2025-05-01,44.2,True
INV000070,3,2024-03-14,2024-09-14,61.333333333333336,True
INV000071,4,2024-03-28,2024-06-09,18.25,False
INV000072,6,2024-03-24,2025-05-13,69.16666666666667,True
INV000073,9,2024-03-20,2025-04-10,42.888888888888886,True
INV000074,8,2024-01-08,2025-05-30,63.5,True
INV000075,6,2024-05-01,2025-05-10,62.333333333333336,True
INV000076,6,2024-02-06,2025-05-10,76.5,True
INV000078,1,2025-05-17,2025-05-17,0.0,False
INV000079,6,2024-06-02,2025-04-27,54.833333333333336,True
INV000080,4,2024-06-27,2025-02-25,60.75,True
INV000081,7,2024-01-01,2025-05-03,69.71428571428571,True
INV000082,7,2024-01-09,2025-05-25,71.71428571428571,True
INV000083,1,2024-08-11,2024-08-11,0.0,False
INV000084,4,2024-02-10,2024-12-12,76.5,True
INV000085,5,2024-02-02,2025-02-01,73.0,True
INV000086,10,2024-02-05,2025-03-13,40.2,True
INV000087,6,2024-02-20,2025-05-29,77.33333333333333,True
INV000088,2,2024-07-24,2024-08-02,4.5,False
INV000089,4,2024-05-29,2025-05-28,91.0,True
INV000090,3,2024-07-08,2025-04-25,97.0,True
INV000091,8,2024-01-04,2024-11-07,38.5,True
INV000092,3,2024-10-18,2024-11-02,5.0,False
INV000093,7,2024-01-30,2024-12-28,47.57142857142857,True
INV000094,6,2024-04-04,2024-11-14,37.333333333333336,True
INV000095,6,2024-04-19,2025-04-01,57.833333333333336,True
INV000096,2,2024-12-14,2024-12-16,1.0,False
INV000097,7,2024-05-10,2025-04-02,46.714285714285715,True
INV000098,5,2024-10-02,2025-04-25,41.0,True
INV000099,5,2024-03-19,2025-03-21,73.4,True
INV000100,3,2024-02-04,2025-04-09,143.33333333333334,True
INV000101,8,2024-02-08,2025-05-08,56.875,True
INV000102,8,2024-02-11,2025-05-13,57.125,True
INV000103,6,2024-02-08,2025-03-31,69.5,True
INV000104,5,2024-01-06,2025-04-10,92.0,True
INV000105,8,2024-01-02,2025-02-04,49.875,True
INV000106,2,2024-12-09,2025-03-31,56.0,True
INV000107,3,2024-05-04,2024-11-20,66.66666666666667,True
